team	short_team_name	full_team_name	conference	division	icon_url
ARI	Cardinals	Arizona Cardinals	NFC	NFC West	https://www.helmethistory.com/uploads/8/3/1/5/8315957/arizona-cardinals-logo-transparent.png
ATL	Falcons	Atlanta Falcons	NFC	NFC South	https://www.helmethistory.com/uploads/8/3/1/5/8315957/atlanta-falcons-logo-transparent.png
BAL	Ravens	Baltimore Ravens	AFC	AFC North	https://www.helmethistory.com/uploads/8/3/1/5/8315957/baltimore-ravens-logo-transparent.png
BUF	Bills	Buffalo Bills	AFC	AFC East	https://www.helmethistory.com/uploads/8/3/1/5/8315957/buffalo-bills-logo-transparent.png
CAR	Panthers	Carolina Panthers	NFC	NFC South	https://www.helmethistory.com/uploads/8/3/1/5/8315957/carolina-panthers-logo-transparent.png
CHI	Bears	Chicago Bears	NFC	NFC North	https://www.helmethistory.com/uploads/8/3/1/5/8315957/chicago-bears-logo-transparent.png
CIN	Bengals	Cincinnati Bengals	AFC	AFC North	https://www.helmethistory.com/uploads/8/3/1/5/8315957/cincinnati-bengals-logo-transparent.png
CLE	Browns	Cleveland Browns	AFC	AFC North	https://www.helmethistory.com/uploads/8/3/1/5/8315957/cleveland-browns-logo-transparent.png
DAL	Cowboys	Dallas Cowboys	NFC	NFC East	https://www.helmethistory.com/uploads/8/3/1/5/8315957/dallas-cowboys-logo-transparent.png
DEN	Broncos	Denver Broncos	AFC	AFC West	https://www.helmethistory.com/uploads/8/3/1/5/8315957/denver-broncos-logo-transparent.png
DET	Lions	Detroit Lions	NFC	NFC North	https://www.helmethistory.com/uploads/8/3/1/5/8315957/detroit-lions-logo-transparent.png
GB	Packers	Green Bay Packers	NFC	NFC North	https://www.helmethistory.com/uploads/8/3/1/5/8315957/green-bay-packers-logo-transparent.png
HOU	Texans	Houston Texans	AFC	AFC South	https://www.helmethistory.com/uploads/8/3/1/5/8315957/houston-texans-logo-transparent.png
IND	Colts	Indianapolis Colts	AFC	AFC South	https://www.helmethistory.com/uploads/8/3/1/5/8315957/indianapolis-colts-logo-transparent.png
JAX	Jaguars	Jacksonville Jaguars	AFC	AFC South	https://www.helmethistory.com/uploads/8/3/1/5/8315957/jacksonville-jaguars-logo-transparent.png
KC	Cheifs	Kansas City Chiefs	AFC	AFC West	https://www.helmethistory.com/uploads/8/3/1/5/8315957/kansas-city-chiefs-logo-transparent.png
LA	Rams	Los Angeles Rams	NFC	NFC West	https://www.helmethistory.com/uploads/8/3/1/5/8315957/lar.png
LAC	Chargers	Los Angeles Chargers	AFC	AFC South	https://www.helmethistory.com/uploads/8/3/1/5/8315957/los-angeles-chargers-logo-transparent.png
LV	Raiders	Las Vegas Raiders	AFC	AFC West	https://www.helmethistory.com/uploads/8/3/1/5/8315957/oakland-raiders-logo-transparent.png
MIA	Dolphins	Miami Dolphins	AFC	AFC East	https://www.helmethistory.com/uploads/8/3/1/5/8315957/miami-dolphins-logo-transparent.png
MIN	Vikings	Minnesota Vikings	NFC	NFC North	https://www.helmethistory.com/uploads/8/3/1/5/8315957/minnesota-vikings-logo-transparent.png
NE	Patriots	New England Patriots	AFC	AFC East	https://www.helmethistory.com/uploads/8/3/1/5/8315957/patriots.png
NO	Saints	New Orleans Saints	NFC	NFC South	https://www.helmethistory.com/uploads/8/3/1/5/8315957/new-orleans-saints-logo-transparent.png
NYG	Giants	New York Giants	NFC	NFC East	https://www.helmethistory.com/uploads/8/3/1/5/8315957/new-york-giants-logo-transparent.png
NYJ	Jets	New York Jets	AFC	AFC East	https://www.helmethistory.com/uploads/8/3/1/5/8315957/new-york-jets-logo-transparent.png
PHI	Eagles	Philadelphia Eagles	NFC	NFC East	https://www.helmethistory.com/uploads/8/3/1/5/8315957/philadelphia-eagles-logo-transparent.png
PIT	Steelers	Pittsburgh Steelers	AFC	AFC North	https://www.helmethistory.com/uploads/8/3/1/5/8315957/pittsburgh-steelers-logo-transparent.png
SEA	Seahawks	Seattle Seahawks	NFC	NFC West	https://www.helmethistory.com/uploads/8/3/1/5/8315957/seattle-seahawks-logo-transparent.png
SF	49ers	San Francisco 49ers	NFC	NFC West	https://www.helmethistory.com/uploads/8/3/1/5/8315957/san-francisco-49ers-logo-transparent.png
TB	Buccaneers	Tampa Bay Buccaneers	NFC	NFC South	https://www.helmethistory.com/uploads/8/3/1/5/8315957/tampa-bay-buccaneers-logo-transparent.png
TEN	Titans	Tennessee Titans	AFC	AFC South	https://www.helmethistory.com/uploads/8/3/1/5/8315957/tennessee-titans-logo-transparent.png
WAS	Commanders	Washington Commanders	NFC	NFC East	https://www.helmethistory.com/uploads/8/3/1/5/8315957/washington-wbg.png
